chromosome,interval,mean_recomb_rate
b'Pseudochr1',0-2000000,0.00000000000000039274664177810657
b'Pseudochr1',2000000-4000000,0.0000000000000008671758932196254
b'Pseudochr1',4000000-6000000,0.0000000000000014245498226475802
b'Pseudochr1',6000000-8000000,0.000000000000001915090991662933
b'Pseudochr1',8000000-10000000,0.000000000000002224933877696605
b'Pseudochr1',10000000-12000000,0.0000000000000026188674109003963
b'Pseudochr1',12000000-14000000,0.0000000000000030814190640631958
b'Pseudochr1',14000000-16000000,0.000000000000003546843122548214
b'Pseudochr1',16000000-18000000,0.0000000000000041017228347163866
b'Pseudochr1',18000000-20000000,0.000000000000004886639421127488
b'Pseudochr1',20000000-22000000,0.000000000000005620245325423162
b'Pseudochr1',22000000-24000000,0.000000000000005949534362091773
b'Pseudochr1',24000000-26000000,0.0000000000000062845326147413174
b'Pseudochr1',26000000-28000000,0.000000000000006627886692890078
b'Pseudochr1',28000000-30000000,0.0000000000000069456328052557395
b'Pseudochr1',30000000-32000000,0.000000000000007355340154229756
b'Pseudochr1',32000000-34000000,0.00000000000000778148778991097
b'Pseudochr1',34000000-36000000,0.000000000000008042134365516992
b'Pseudochr1',36000000-38000000,0.000000000000008301121687860664
b'Pseudochr1',38000000-40000000,0.000000000000008536691129281095
b'Pseudochr1',40000000-42000000,0.00000000000000877431266158135
b'Pseudochr1',42000000-44000000,0.000000000000008977762692592286
b'Pseudochr1',44000000-46000000,0.000000000000009189112621996547
b'Pseudochr1',46000000-48000000,0.000000000000009496068663585837
b'Pseudochr1',48000000-50000000,0.000000000000009702099220911181
b'Pseudochr1',50000000-52000000,0.000000000000009893728527360547
b'Pseudochr1',52000000-54000000,0.00000000000001012894006498515
b'Pseudochr1',54000000-56000000,0.00000000000001031119084975945
b'Pseudochr1',56000000-58000000,0.000000000000010488380108949516
b'Pseudochr1',58000000-60000000,0.000000000000010642617881017708
b'Pseudochr1',60000000-62000000,0.000000000000010842577270830228
b'Pseudochr1',62000000-64000000,0.000000000000011078451594906989
b'Pseudochr1',64000000-66000000,0.000000000000011337004967874839
b'Pseudochr1',66000000-68000000,0.000000000000011598257250672796
b'Pseudochr1',68000000-70000000,0.000000000000011853582758700391
b'Pseudochr1',70000000-72000000,0.000000000000012065756636106051
b'Pseudochr1',72000000-74000000,0.000000000000012400186467392935
b'Pseudochr1',74000000-76000000,0.000000000000012686889360434854
b'Pseudochr1',76000000-78000000,0.000000000000012928719341909096
b'Pseudochr1',78000000-80000000,0.00000000000001314371219072685
b'Pseudochr1',80000000-82000000,0.000000000000013389225958899557
b'Pseudochr1',82000000-84000000,0.000000000000013655937821247126
b'Pseudochr1',84000000-86000000,0.000000000000013875282669432118
b'Pseudochr1',86000000-88000000,0.000000000000014117098614235576
b'Pseudochr1',88000000-90000000,0.0000000000000143666067698301
b'Pseudochr1',90000000-92000000,0.000000000000014667332129645762
b'Pseudochr1',92000000-94000000,0.000000000000014887812104516153
b'Pseudochr1',94000000-96000000,0.000000000000015127861343342354
b'Pseudochr1',96000000-98000000,0.000000000000015335371498179708
b'Pseudochr1',98000000-100000000,0.00000000000001554212244269196
b'Pseudochr1',100000000-102000000,0.00000000000001574366323475688
b'Pseudochr1',102000000-104000000,0.000000000000015989680879264063
b'Pseudochr1',104000000-106000000,0.000000000000016210482194891197
b'Pseudochr1',106000000-108000000,0.000000000000016445273109367768
b'Pseudochr1',108000000-110000000,0.000000000000016635659117322623
b'Pseudochr1',110000000-112000000,0.000000000000016851657071778666
b'Pseudochr1',112000000-114000000,0.000000000000017228779272003262
b'Pseudochr1',114000000-116000000,0.000000000000017735973712218605
b'Pseudochr1',116000000-118000000,0.000000000000018616627014058163
b'Pseudochr1',118000000-120000000,0.000000000000019508033159015433
b'Pseudochr10',0-2030000,0.0000000000000006409773962580677
b'Pseudochr10',2030000-4060000,0.0000000000000016926872443097177
b'Pseudochr10',4060000-6090000,0.0000000000000023713161742435884
b'Pseudochr10',6090000-8120000,0.0000000000000026232928430569594
b'Pseudochr10',8120000-10150000,0.0000000000000028596209332233018
b'Pseudochr10',10150000-12180000,0.0000000000000030648178669050608
b'Pseudochr10',12180000-14210000,0.0000000000000033220267796615225
b'Pseudochr10',14210000-16240000,0.000000000000003672714933280435
b'Pseudochr10',16240000-18270000,0.000000000000004403674849155921
b'Pseudochr10',18270000-20300000,0.00000000000000542165143154621
b'Pseudochr11',0-2002000,0.00000000000000015908168407319925
b'Pseudochr11',2002000-4004000,0.0000000000000003424846440226334
b'Pseudochr11',4004000-6006000,0.0000000000000006744203975169817
b'Pseudochr11',6006000-8008000,0.0000000000000009670367356280952
b'Pseudochr11',8008000-10010000,0.0000000000000018151081561912833
b'Pseudochr11',10010000-12012000,0.0000000000000026704822656759
b'Pseudochr11',12012000-14014000,0.0000000000000030151427346482677
b'Pseudochr11',14014000-16016000,0.000000000000003242516061362113
b'Pseudochr11',16016000-18018000,0.000000000000003887692164803295
b'Pseudochr11',18018000-20020000,0.000000000000004623435319729786
b'Pseudochr12',0-2015000,0.0000000000000009412317315394189
b'Pseudochr12',2015000-4030000,0.0000000000000019263359149132533
b'Pseudochr12',4030000-6045000,0.000000000000002833622455378212
b'Pseudochr12',6045000-8060000,0.0000000000000034605104446312953
b'Pseudochr12',8060000-10075000,0.000000000000003887264104822797
b'Pseudochr12',10075000-12090000,0.000000000000004354562946289778
b'Pseudochr12',12090000-14105000,0.000000000000004725989966246909
b'Pseudochr12',14105000-16120000,0.000000000000005320670110334446
b'Pseudochr12',16120000-18135000,0.000000000000006059036538583143
b'Pseudochr12',18135000-20150000,0.00000000000000668739080653378
b'Pseudochr13',0-2000000,0.0000000000000005700925287770951
b'Pseudochr13',2000000-4000000,0.0000000000000013194682136830214
b'Pseudochr13',4000000-6000000,0.0000000000000017664107146009438
b'Pseudochr13',6000000-8000000,0.000000000000002510715160697116
b'Pseudochr13',8000000-10000000,0.000000000000003417745428111971
b'Pseudochr13',10000000-12000000,0.000000000000004229104136301835
b'Pseudochr13',12000000-14000000,0.000000000000004781187258032504
b'Pseudochr13',14000000-16000000,0.000000000000005193516752881988
b'Pseudochr13',16000000-18000000,0.000000000000005679266264850498
b'Pseudochr14',0-2016000,0.00000000000000025580887027288303
b'Pseudochr14',2016000-4032000,0.0000000000000005844025413643198
b'Pseudochr14',4032000-6048000,0.0000000000000011695107664820304
b'Pseudochr14',6048000-8064000,0.0000000000000020035924775440147
b'Pseudochr14',8064000-10080000,0.00000000000000291276761690935
b'Pseudochr14',10080000-12096000,0.0000000000000032294057662518167
b'Pseudochr14',12096000-14112000,0.000000000000003850086874171767
b'Pseudochr14',14112000-16128000,0.000000000000004594844476787658
b'Pseudochr15',0-2015000,0.0000000000000006074024278139443
b'Pseudochr15',2015000-4030000,0.0000000000000010261035463192054
b'Pseudochr15',4030000-6045000,0.0000000000000018382543543102814
b'Pseudochr15',6045000-8060000,0.000000000000002091560501451622
b'Pseudochr15',8060000-10075000,0.0000000000000024734828757931065
b'Pseudochr15',10075000-12090000,0.0000000000000033427128907626144
b'Pseudochr15',12090000-14105000,0.000000000000004136610099959191
b'Pseudochr17',0-2013000,0.0000000000000007018575414211641
b'Pseudochr17',2013000-4026000,0.0000000000000016011151526355221
b'Pseudochr17',4026000-6039000,0.000000000000002353081275566464
b'Pseudochr17',6039000-8052000,0.000000000000003222481047333804
b'Pseudochr17',8052000-10065000,0.000000000000004229897981517917
b'Pseudochr18',0-2001000,0.0000000000000008103849387906
b'Pseudochr18',2001000-4002000,0.0000000000000014279659086878807
b'Pseudochr18',4002000-6003000,0.0000000000000020851407614205547
b'Pseudochr18',6003000-8004000,0.0000000000000025933930591484443
b'Pseudochr18',8004000-10005000,0.000000000000003352994444706105
b'Pseudochr18',10005000-12006000,0.000000000000003980337793064578
b'Pseudochr19',0-2035000,0.0000000000000007583314569684484
b'Pseudochr19',2035000-4070000,0.00000000000000179777267375843
b'Pseudochr19',4070000-6105000,0.000000000000002702728208959225
b'Pseudochr19',6105000-8140000,0.000000000000003490362026785354
b'Pseudochr1A',0-2010000,0.0000000000000009328732526011285
b'Pseudochr1A',2010000-4020000,0.0000000000000016682118482691258
b'Pseudochr1A',4020000-6030000,0.000000000000002076967263839337
b'Pseudochr1A',6030000-8040000,0.000000000000002314006811417906
b'Pseudochr1A',8040000-10050000,0.0000000000000024723991519065043
